Name,Text
TID_MISSION_0_19_RECEIVING_MESSAGE,"Great, another one made it out! I just got the Mech started, so you're going to have some great backup."
TID_MISSION_0_2,Welcome to the Resistance
TID_MISSION_0_2_OBJECTIVE,Talk to Lemmy Colorado in Pipe Square.
TID_MISSION_0_2_RECEIVING_MESSAGE,"Hello there. By looking at your scratches, you seem to have had a Warm Welcome... Still, better to break out of jail than surrender to Labycore's 'due process', eh?"
TID_MISSION_0_20,OLD Money Never Sleeps
TID_MISSION_0_21,OLD Escort
TID_MISSION_0_22,"OLD Detective, again"
TID_MISSION_0_23,OLD Sail away
TID_MISSION_0_24,OLD Information Is Beautiful
TID_MISSION_0_25,REPLACE_me2
TID_MISSION_0_26,REPLACE_ME
TID_MISSION_0_27,Zero Tolerance
TID_MISSION_0_27_OBJECTIVE,"There's a comm console in the guards' break room. You could use it to send them on a wild goose chase. Then if you cut power to the local network, they won't be able to receive new orders. After that, talk to Stan who's posted at the gate."
TID_MISSION_0_27_RECEIVING_MESSAGE,"Good job, the whole prison security has gone haywire."
TID_MISSION_0_28,REPLACE_ME6
TID_MISSION_0_29,Grim Gonzales
TID_MISSION_0_29_FINISHED_SOCIAL_NETWORK_POST,"Big mean 'Grim' Gonzales was a bad, bad boy, until he was expertly gibbed by yours truly. Booyah."
TID_MISSION_0_29_OBJECTIVE,"The local gang leader 'Grim' Gonzales is holed up in that building. If you can get enough firepower together, you could take him out and throw his gang into complete chaos."
TID_MISSION_0_29_RECEIVING_MESSAGE,"Good job taking out Gonzales, <PLAYER_NAME>. The Resistance won't forget it."
TID_MISSION_0_3,Police Truck
TID_MISSION_0_3_OBJECTIVE,First we need to immobilize Labycore search teams. Their garage is just nearby - take out their vehicles!
TID_MISSION_0_3_RECEIVING_MESSAGE,Nice work. That should buy us some time.
TID_MISSION_0_30,OLD Cargo Business
TID_MISSION_0_31,OLD Sign For Duty
TID_MISSION_0_32,OLD Searching The Yards
TID_MISSION_0_33,OLD Searching the Yards II
TID_MISSION_0_34,OLD Raiding the Labs
TID_MISSION_0_35,OLD Raiding The Labs II
TID_MISSION_0_36,Break Out
TID_MISSION_0_36_OBJECTIVE,"We have help on the outside. Mason will blow a hole in the wall when he hears us coming. Shoot some guards, make some noise!"
TID_MISSION_0_36_RECEIVING_MESSAGE,Come on! I'll help as many as I can get away!
TID_MISSION_0_37,OLD Se1
TID_MISSION_0_38,OLD Missing Officer
TID_MISSION_0_39,Smokin' Hot
TID_MISSION_0_39_OBJECTIVE,"Yeah, we're growing Mean Weed here. What you see outside is all we got right now after we lost a couple of harvests. If we lose this one too, I'm as good as dead. I don't mind if you steal it or burn it or whatever, but you gotta protect me, ok?"
TID_MISSION_0_39_RECEIVING_MESSAGE,"So we got a turncoat Mad Dog? I'll tell him where to stick his green thumb. Good job torching the field, we'll put beautiful pavement on there in no time."
TID_MISSION_0_4,"Drugs, Up In Smoke"
TID_MISSION_0_4_OBJECTIVE,The gang running this farm work as cheap muscle for Labycore. They also grow some crops of their own. The best way to distract them is to set their precious weed ablaze.
TID_MISSION_0_4_RECEIVING_MESSAGE,"Heh, I can see the flames from all the way here. That should keep the bangers busy for a while."
TID_MISSION_0_40,WIP: Counter Strike
TID_MISSION_0_41,It's a Sabotage
TID_MISSION_0_41_OBJECTIVE,"Getting rid of the weed was a good start, but we need to make sure the Dogs don't just come back with a new bag of seeds. If we sabotage their tractors, they'll be out of the growing business for a while."
TID_MISSION_0_41_RECEIVING_MESSAGE,That oughta do it. I've dealt with the Mad Dogs and their kind of scum before. A little setback and they give up. It takes a lot more to break us Dockers!
TID_MISSION_0_42,Report to Holden
TID_MISSION_0_42_OBJECTIVE,"The Harbor belongs to us now, baby! Go tell Holden, and remind him of the bonus I earned with this."
TID_MISSION_0_42_RECEIVING_MESSAGE,"Good work out there. Whatever Rubert says, the fight isn't over yet. We took the ground but now we have to hold it. You'll lend us a hand, won't you?"
TID_MISSION_0_43,OLD Donovan The Trainer
TID_MISSION_0_44,OLD1
TID_MISSION_0_44_OBJECTIVE,Follow Freddie to the next room and deal with possible problems.
TID_MISSION_0_44_RECEIVING_MESSAGE,You cannot save me but save yourself! Get out through that fire exit at the back of the room! Run!
TID_MISSION_0_45,OLD2
TID_MISSION_0_45_OBJECTIVE,Enter the Immigration Office and talk to your friends.
TID_MISSION_0_45_RECEIVING_MESSAGE,"May I see your ID, please? We need to register your information into the system."
TID_MISSION_0_46,OLD3
TID_MISSION_0_46_OBJECTIVE,"Take the elevator downstairs by clicking the green arrow on the floor, and talk to Officer Smith."
TID_MISSION_0_46_RECEIVING_MESSAGE,"(Smith eyes you from head to toe. He is itching to give you a beating.)\n\nIt seems that you've been living two lives, <PLAYER_NAME>. One of these lives has a future, whereas the other...\nPlease move next to your friend there and wait for your turn."
TID_MISSION_0_47,OLD It's locked!
TID_MISSION_0_47_RECEIVING_MESSAGE,Ye.
TID_MISSION_0_48,OLD Checking out the area
TID_MISSION_0_49,OLD New Friends
TID_MISSION_0_5,Brutal Security
TID_MISSION_0_5_OBJECTIVE,"I just found out that Labycore Security has captured another escapee, and they're roughing her up while waiting for pickup. Help her get back here!"
TID_MISSION_0_5_RECEIVING_MESSAGE,"We're in this together, everyone helping each other. That's why I believe in the Resistance."
TID_MISSION_0_50,Burning Down the House
TID_MISSION_0_50_OBJECTIVE,"Here, take this kerosene and burn down the warehouse in Export Area. Don't worry, it's empty... except for the Mobsters that stole everything I owned. Do this and I'll tell you what you want to know."
TID_MISSION_0_50_RECEIVING_MESSAGE,"Ok, here's the deal. The coupons look real enough, but without the unique DNA imprint of a Dawnbreak citizen on each one, they're completely useless to you."
TID_MISSION_0_51,Blood Sample
TID_MISSION_0_51_OBJECTIVE,"Sure, I can help you. There's one Dawnbreak citizen around these parts. Bobby Boy seems to think he can get away with with any crime because he's a citizen. You want his DNA? Go spill some blood."
TID_MISSION_0_51_RECEIVING_MESSAGE,"Well, that's enough for one purchase. But you can't just smear blood on the coupon, you know!"
TID_MISSION_0_52,A Dog As Courier? How Stupid Is That?
TID_MISSION_0_52_OBJECTIVE,Plant a bomb on the Mad Dog courier's car in Crane area.
TID_MISSION_0_52_RECEIVING_MESSAGE,"Ah, I love the smell of burning gasoline in the morning."
TID_MISSION_0_53,Attack reservoir
TID_MISSION_0_53_OBJECTIVE,We're going to take over the water reservoirs. Let the Hired Guns feel real thirst for a change.
TID_MISSION_0_53_RECEIVING_MESSAGE,> Access denied
TID_MISSION_0_53_TASK_0,Watergate controller
TID_MISSION_0_54,"Your Chariot Awaits, Miss"
TID_MISSION_0_54_OBJECTIVE,Free Angelina's sister and escort her to the submarine.
TID_MISSION_0_54_RECEIVING_MESSAGE,"Oh, thank you, thank you, thank you a thousand times!\nNow me and my sister can finally leave this nightmare behind!"
TID_MISSION_0_55,Must Be Talking To Angel
TID_MISSION_0_55_OBJECTIVE,Talk to Angel.
TID_MISSION_0_55_RECEIVING_MESSAGE,Well met.
TID_MISSION_0_56,A Damsel in Distress
TID_MISSION_0_56_OBJECTIVE,"One of our girls, Zoe was trying to spring some newcomers when she got herself caught. Free her and she'll make it worth your while!"
TID_MISSION_0_56_RECEIVING_MESSAGE,Would you mind helping me? I'm not really into this bondage stuff.
TID_MISSION_0_56_TASK_0,Find Zoe
TID_MISSION_0_57,Get Rid of the Rivals
TID_MISSION_0_57_OBJECTIVE,"Still here? I guess you're looking for a different kind of action. Here's a big one: take out Madame Kruschok in the nearby Queens cathouse. If you can also get your hands on her client list, we could do some real mischief."
TID_MISSION_0_57_RECEIVING_MESSAGE,"Wow, you're pretty amazing. You can hook up your brain to the net while splattering other people's brains all over the place. I'd give you a kiss but cyber implants give me the creeps, and the blood ain't helping either."
TID_MISSION_0_57_TASK_0,Download client list
TID_MISSION_0_57_TASK_1,Kill Madame
TID_MISSION_0_58,Saving Saffron
TID_MISSION_0_58_OBJECTIVE,Destroy the Water Pump and escort Saffron to safety in Mud Beach North.
TID_MISSION_0_58_RECEIVING_MESSAGE,I hear the mission went like clockwork. Well done!
TID_MISSION_0_59,Blockade Runner
TID_MISSION_0_59_OBJECTIVE,Travel to Abyssos Eastern Entrance and clear out all Hooligans from the area.
TID_MISSION_0_59_RECEIVING_MESSAGE,"Cheers! Now the regulars can come here in peace, and end their hard day in our soothing arms like they want to.\nHuh. I got a sudden yearning for a banana."
TID_MISSION_0_6,Refuel
TID_MISSION_0_6_OBJECTIVE,Retrieve the Gasoline canister from the Truck Dock.
TID_MISSION_0_6_RECEIVING_MESSAGE,Excellent! Time to get the show on the road.
TID_MISSION_0_6_TASK_0,Gasoline Retrieved
TID_MISSION_0_60,Blood & Fire
TID_MISSION_0_60_OBJECTIVE,This is it. Those fascist dogs are outside. Kill every man and beast!
TID_MISSION_0_60_RECEIVING_MESSAGE,"I'm glad you're safe! Those monsters deserved to die. The poor girls are almost dead from exposure and starvation, and too weak to be moved right now. I'll get them some food and drink first of all."
TID_MISSION_0_60_TASK_0,Dog Handlers Killed
TID_MISSION_0_60_TASK_1,Dogs Killed
TID_MISSION_0_60_TASK_2,Brawler Killed
TID_MISSION_0_60_TASK_3,Repair Man Killed
TID_MISSION_0_61,Payback Time
TID_MISSION_0_61_OBJECTIVE,Burn Drill Master Morty's cars in Drill Facility Entrance.
TID_MISSION_0_61_RECEIVING_MESSAGE,"Thanks for the help, <PLAYER_NAME>."
TID_MISSION_0_61_TASK_0,Cars set on fire
TID_MISSION_0_62,Unlock reservoir
TID_MISSION_0_62_OBJECTIVE,> Insert access card to unlock water reservoir
TID_MISSION_0_62_RECEIVING_MESSAGE,> Access granted
TID_MISSION_0_62_TASK_0,Access card
TID_MISSION_0_63,Mopping up
TID_MISSION_0_63_OBJECTIVE,"The mercs know they're beaten, and might do something desperate. Mop up any Hired Guns stragglers before they damage the water system."
TID_MISSION_0_63_RECEIVING_MESSAGE,That was some serious ass whooping we gave them!
TID_MISSION_0_63_TASK_0,Defend the Diablo
TID_MISSION_0_64,"If You Have a Plan, Stick to It"
TID_MISSION_0_64_OBJECTIVE,Find Mal's Plans from the Mad Dog Repair Man in the Dry Dock.
TID_MISSION_0_64_RECEIVING_MESSAGE,"Right on! These plans are very important to us in curbing the W.U.Z.Z. pushing in the area.\nDid I say thanks yet?\nI guess I will, at some point."
TID_MISSION_0_65,Confiscate This!
TID_MISSION_0_65_OBJECTIVE,Kill all Mad Dogs
TID_MISSION_0_65_RECEIVING_MESSAGE,"Share of the profits? Now now, remember that you're doing a valuable, unselfish service to the community."
TID_MISSION_0_65_TASK_0,Dogs Killed
TID_MISSION_0_65_TASK_1,Mad Dog Gunner Killed
TID_MISSION_0_65_TASK_2,Mad Dog Trainer Killed
TID_MISSION_0_65_TASK_3,Mad Dog Brawler Killed
TID_MISSION_0_66,Casualties Can't Be Avoided
TID_MISSION_0_66_OBJECTIVE,Find Missing Friend in Cargo Warehouse. Recover W.U.Z.Z. packages for disposal.
TID_MISSION_0_66_RECEIVING_MESSAGE,"Oh. Oh no. They made an addict out of her? Oh, son of a--!\nI better tell Kaylee. We'll do what we can to detox her. It's a real shame you can't kill the monsters twice."
TID_MISSION_0_67,Electrician's Mate
TID_MISSION_0_67_OBJECTIVE,Escort the 13 Diablos member and disable three transformer boxes.
TID_MISSION_0_67_RECEIVING_MESSAGE,"All went well, apparently?"
TID_MISSION_0_67_TALK_TASK_0,"You can count on me! I'll watch your back, and you'll watch mine, right!\nI'll lead the way and you'll take out the electricity. Let's move out!"
TID_MISSION_0_67_TASK_0,Protect Diablo Member
TID_MISSION_0_67_TASK_1,Disable transformer boxes
TID_MISSION_0_68,Purify the plant
TID_MISSION_0_68_OBJECTIVE,"The Hired Guns are still holed up in the Water Purification Plant. We can't risk having them at the water source, they might get desperate and poison the water or break the purification systems. Clear them out!"
TID_MISSION_0_68_RECEIVING_MESSAGE,"That was one tough bitch. I didn't know the Guns had high level assassins working for them. I'm amazed you took her out, kudos!"
TID_MISSION_0_68_TASK_0,Hired Guns Horatio
TID_MISSION_0_69,Crushed By The Wheels
TID_MISSION_0_69_OBJECTIVE,Find and talk to the Docker scout in Western Junkyard.
TID_MISSION_0_69_RECEIVING_MESSAGE,"Holy Mary, the Mother of God! Serial killers wearing suits, and Mad Dogs feeding people to the pigs we eat! I can never eat bacon again! Those sick maniacs will pay for ruining my favorite food group!"
TID_MISSION_0_7,Out Of The Woods
TID_MISSION_0_7_OBJECTIVE,"I'm going to stay here to help more prisoners get out. You should head West until you get to Needlewood, then look up Lloyd Brown. You got that? Now go!"
TID_MISSION_0_7_RECEIVING_MESSAGE,"No time to talk! Labycore are closing in, and I need to concentrate!"
TID_MISSION_0_70,Shock Dave
TID_MISSION_0_70_OBJECTIVE,> Robert: Kill chief engineer Shock Dave in Southern Power Plant.
TID_MISSION_0_70_RECEIVING_MESSAGE,"> Robert: Nice job! Skilled workers are hard to find, and not many want to work for Labycore when we keep picking off their pros."
TID_MISSION_0_70_TASK_0,Shock Dave Bites the Dust
TID_MISSION_0_71,Check pumps
TID_MISSION_0_71_OBJECTIVE,> Input pump ID numbers for rerouting low-pressure maintenance flow
TID_MISSION_0_71_RECEIVING_MESSAGE,> Data input
TID_MISSION_0_71_TASK_0,Find pump ID numbers
TID_MISSION_0_72,Stolen cargo
TID_MISSION_0_72_OBJECTIVE,"The Raiders walked off with the most precious cargo from the truck, guns and medical supplies. I'll give you a good bounty for both."
TID_MISSION_0_72_RECEIVING_MESSAGE,"Great job, we can't afford to lose any of these supplies."
TID_MISSION_0_72_TASK_0,Gun crate
TID_MISSION_0_72_TASK_1,First aid kits
TID_MISSION_0_73,Leave No Man Behind
TID_MISSION_0_73_OBJECTIVE,"> Robert: I told Ricky of the Diablos about the back way into Power Plant, and he went all gung ho. The guy's eager but there's no way he'll survive alone. Get him out of there!"
TID_MISSION_0_73_RECEIVING_MESSAGE,"> Robert: He'd better count his lucky stars, it's a miracle he's still breathing. Good job, <PLAYER_NAME>. I bet the Diablos will want to show their gratitude."
TID_MISSION_0_74,Saving Skin
TID_MISSION_0_74_OBJECTIVE,"Thanks honey! Now I can get back to rescuing those girls. You want to see them safe, don't you? Follow me and do your thing!"
TID_MISSION_0_74_RECEIVING_MESSAGE,"Look at these poor things, half starved and with hardly a thread to cover them. Let's go back to the Casino Royale and we'll take good care of you all. Especially you, <PLAYER_NAME>!"
TID_MISSION_0_74_TASK_0,Keep Zoe safe
TID_MISSION_0_75,That Little Snitch!
TID_MISSION_0_76,Get a Job!
TID_MISSION_0_76_OBJECTIVE,Go talk to Alton at the Northern Warehouse.
TID_MISSION_0_76_RECEIVING_MESSAGE,"Hi, mate! Looking for work? Well, you came to the right man. Just come and talk to me again whenever you need something to do."
TID_MISSION_0_77,Raiding the Drug Lab
TID_MISSION_0_77_OBJECTIVE,"Raid the drug lab in Export Area. Kill Mad Boss, and get a pure W.U.Z.Z. sample."
TID_MISSION_0_77_RECEIVING_MESSAGE,"Excellent work! With Mad Boss dead, and this pure sample of W.U.Z.Z., we're one step closer to freeing the city of the drug's influence."
TID_MISSION_0_78,"I'm Afraid I Was Very, Very Drunk!"
TID_MISSION_0_78_OBJECTIVE,"Kill Mobile Weapons Platform, download research files, and recover personnel files in Dawnbreak City Harbor."
TID_MISSION_0_78_RECEIVING_MESSAGE,"Great job! I knew I could count on you! The Resistance is in your debt, <PLAYER_NAME>.\nI'd buy you a stiff drink to celebrate your success, but to be honest, the mere thought of alcohol makes me nauseous.\nI will never again this much, that's a promise."
TID_MISSION_0_79,Getting Our Boys Out
TID_MISSION_0_79_OBJECTIVE,"Head to the Barracks and locate the 13 Diablos strike team. They're walking straight into a trap, tell them to abort mission immediately!"
TID_MISSION_0_79_RECEIVING_MESSAGE,"We got bushwacked good and proper, and two of our members are dead...\nStill, thanks, <PLAYER_NAME>. You still managed to save one of our finest."
TID_MISSION_0_79_TALK_TASK_0,Thanks for showing up to save my ass. The others are dead. How did they even catch us?! It was like they knew exactly where we were and what we were going to do.
TID_MISSION_0_79_TASK_0,Diablos Mission Aborted
TID_MISSION_0_8,REPLACE_ME4
TID_MISSION_0_80,Blackout
TID_MISSION_0_80_OBJECTIVE,Shut the power from Brick Top Piggery by destroying three transformer boxes.
TID_MISSION_0_80_RECEIVING_MESSAGE,"That pig farm gives me the creeps. No one actually knows what is going on there. Why keep swine in a place like that?\nAh, never mind. All that really matters is that the power is now out. Good job."
TID_MISSION_0_80_TASK_0,Power cut
TID_MISSION_0_81,Labycollector
TID_MISSION_0_81_OBJECTIVE,"> Robert: We found out from a source that Security Troopers in the Power Plant North district just received a shipment of weapons. Unfortunately, we weren't able to intercept the shipment, but it's not too late to grab those guns."
TID_MISSION_0_81_RECEIVING_MESSAGE,"> Robert: We're outgunned against Labycore, but heists like this go a long way towards evening the odds."
TID_MISSION_0_82,Security Does Not Equal Safety
TID_MISSION_0_82_OBJECTIVE,Club Flesh protects their inhuman activities with high security. Cripple their systems by destroying the main power coupling in Abyssos Offices.
TID_MISSION_0_82_RECEIVING_MESSAGE,"Solid work, <PLAYER_NAME>!\nNow we'll just wait for their backup generators to run out, and then us and them, we'll have a nice get together.\nFeel free to join us, if you want."
TID_MISSION_0_83,Remember to hydrate
TID_MISSION_0_83_OBJECTIVE,"The walk here was rough, ese. I can hardly stand. Get me something to drink and we'll talk."
TID_MISSION_0_83_RECEIVING_MESSAGE,Ahh. Much better.
TID_MISSION_0_83_TASK_0,Gather coconut milk
TID_MISSION_0_84,"Drugs, Dogs, and Depots"
TID_MISSION_0_84_OBJECTIVE,Get three explosives and kill Sheila
TID_MISSION_0_84_RECEIVING_MESSAGE,That bitch won't be missed. Good work.
TID_MISSION_0_85,"Go, Boy! Fetch!"
TID_MISSION_0_85_OBJECTIVE,"Look, I can help you cash in those coupons, but first I need you to do something for me. I left a package in a nearby warehouse, where some punks have now moved in. Go fetch it, will you?"
TID_MISSION_0_85_RECEIVING_MESSAGE,"It's like Xmas! And this year, Santa brought kerosene to good little children."
TID_MISSION_0_86,"C'mon, Hurry Up Already!"
